created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Dec 11 13:07:02 +0000 2023;1734198103748776097;"Ganjar, calon presiden yang punya keahlian mengentaskan kemiskinan. Angka kemiskinan yang merosot membuktikan bahwa visi dan misinya dapat diandalkan. @elorayara  https://t.co/NnYB75ESmM";0;0;0;0;in;1688435162181435392;1734198103748776097;EchooZenith;https://twitter.com/EchooZenith/status/1734198103748776097
Mon Dec 11 13:06:53 +0000 2023;1734198067262619805;"Dukungan saya tanpa ragu untuk Ganjar Pranowo sebagai calon presiden, karena rekam jejaknya yang gemilang dalam menangani kemiskinan. @dwigendut160517  https://t.co/LIgUEGCj5G";0;0;0;0;in;1689159891527852033;1734198067262619805;KiraniH13391;https://twitter.com/KiraniH13391/status/1734198067262619805
Mon Dec 11 13:06:52 +0000 2023;1734198060664975585;"Warga Jatim mendukung Ganjar sebagai Calon Presiden 2024 karena melihatnya sebagai pemimpin yang dapat mengatasi masalah kemiskinan, sedangkan Prabowo terkadang terlihat lebih suka mengambil kebijakan yang lebih elitist. @ElviraLisnaHrhp https://t.co/ZSYg0OTLza";0;0;0;0;in;1683700888643469312;1734198060664975585;PutriSyapu84505;https://twitter.com/PutriSyapu84505/status/1734198060664975585
Mon Dec 11 13:06:39 +0000 2023;1734198007950942503;"Ganjar Pranowo dianggap sebagai calon yang mampu membawa perubahan nyata, bukan sekadar retorika seperti yang sering dilakukan oleh Prabowo. @eliarenaldi1  https://t.co/033O07aNTC";0;0;0;0;in;1683510401244467200;1734198007950942503;__sophiaalia;https://twitter.com/__sophiaalia/status/1734198007950942503
Mon Dec 11 13:06:36 +0000 2023;1734197994759873020;"Warga Jatim melihat Ganjar sebagai calon presiden yang lebih memahami kebutuhan masyarakat, tidak seperti Prabowo yang terkesan kurang akrab dengan rakyat. @dpR_Rangga  https://t.co/LJXIBwACvp";0;0;0;0;in;1688770180070227968;1734197994759873020;gnngdnuuu;https://twitter.com/gnngdnuuu/status/1734197994759873020
Mon Dec 11 13:06:33 +0000 2023;1734197982768304338;"Ganjar dinilai sebagai calon presiden yang dapat mengatasi masalah-masalah sosial dengan pendekatan yang komprehensif, berbeda dengan Prabowo yang terkadang memberikan solusi yang terlalu parsial. @eqYfr4GE1sHZOO3 https://t.co/33OKN64j9D";0;0;0;0;in;1684842048309059584;1734197982768304338;moiznafiii51982;https://twitter.com/moiznafiii51982/status/1734197982768304338
Mon Dec 11 13:05:47 +0000 2023;1734197790241398952;"Ganjar Pranowo terbukti sukses memimpin Jateng, Jakarta pasti lebih maju lagi kalau dia jadi Capres @dinda83168995  https://t.co/AnuOKmJqtq";0;0;0;0;in;1689906997377093632;1734197790241398952;dhilanuraini2;https://twitter.com/dhilanuraini2/status/1734197790241398952
Mon Dec 11 13:05:42 +0000 2023;1734197767172722695;"Ganjar In Action, Sedot Perhatian di Dialog Apindo Capres https://t.co/0pobsnWKN6";0;0;0;1;in;847372542830444544;1734197767172722695;cnbcindonesia;https://twitter.com/cnbcindonesia/status/1734197767172722695
Mon Dec 11 13:05:21 +0000 2023;1734197678962073934;"Capres unggul, Ganjar Pranowo Mahfud MD, membawa harapan rakyat, duet Capres dan Cawapres sebagai solusi untuk bangsa.#GanjarPranowoPilihanUmat #JNK #SenoKusumoarjo #Kampanye #Pilpres2024 https://t.co/wsKmy86aXw";0;0;0;0;in;1720440553614061568;1734197678962073934;AlmirKeyes32993;https://twitter.com/AlmirKeyes32993/status/1734197678962073934
Mon Dec 11 13:05:21 +0000 2023;1734197678760661456;"Dengan keseriusan, Capres Ganjar Pranowo rencanakan Nusa Kambangan sebagai lokasi isolasi untuk mereka yang merugikan keuangan negara.#GanjarPranowoPilihanUmat #JNK #AtikohIbuNegara";0;0;0;0;in;1720440654344368128;1734197678760661456;AlvaAugust14185;https://twitter.com/AlvaAugust14185/status/1734197678760661456
